"Cluster";"ID";"Description";"GeneRatio";"BgRatio";"pvalue";"p.adjust";"qvalue";"geneID";"Count"
"71";"comm 2";"GO:0031076";"embryonic camera-type eye development";"2/27";"35/18723";0.00115711449455885;0.0222591449334577;0.0133429408657409;"CITED2/RARA";2
"80";"comm 2";"GO:1901342";"regulation of vasculature development";"4/27";"348/18723";0.00146807408834572;0.0253609798761723;0.0152022935201064;"CREB3L1/ID1/SPARC/TERT";4
"88";"comm 2";"GO:0001701";"in utero embryonic development";"4/27";"367/18723";0.00178388903087855;0.0280151663712973;0.0167933094174811;"AR/CITED2/EPB41L5/TP53";4
"89";"comm 2";"GO:0060324";"face development";"2/27";"44/18723";0.0018250656773766;0.0283397838891513;0.0169878969615066;"COL1A1/RARA";2
"95";"comm 2";"GO:0010830";"regulation of myotube differentiation";"2/27";"46/18723";0.00199322563472309;0.0289961876546033;0.0173813692468374;"FBXO22/HDAC5";2
"96";"comm 2";"GO:0050678";"regulation of epithelial cell proliferation";"4/27";"381/18723";0.00204495992768516;0.0290797007922178;0.0174314300582492;"AR/ID1/SPARC/ZNF703";4
"98";"comm 2";"GO:0048512";"circadian behavior";"2/27";"47/18723";0.00207996595704683;0.0290797007922178;0.0174314300582492;"EGR1/TP53";2
"113";"comm 2";"GO:0002285";"lymphocyte activation involved in immune response";"3/27";"194/18723";0.00266750515806797;0.0324360387531527;0.0194433410760387;"NDFIP1/RARA/TP53";3
"119";"comm 2";"GO:0002931";"response to ischemia";"2/27";"58/18723";0.00314966134676765;0.0365784200103605;0.0219264350279181;"EGR1/TP53";2
"130";"comm 2";"GO:0001756";"somitogenesis";"2/27";"63/18723";0.00370482184353469;0.0390844563951523;0.0234286443620876;"EPB41L5/TP53";2
"143";"comm 2";"GO:0046686";"response to cadmium ion";"2/27";"68/18723";0.0043022297124571;0.041289454601498;0.0247504004656706;"SPARC/TERT";2
"149";"comm 4";"GO:0030199";"collagen fibril organization";"9/131";"61/18723";3.88260877273666e-10;9.62498714761419e-07;8.05539146427786e-07;"COL11A1/COL12A1/COL1A2/COL2A1/COL3A1/COL5A1/COL5A2/LOX/LUM";9
"153";"comm 4";"GO:0031345";"negative regulation of cell projection organization";"10/131";"186/18723";7.49944990897567e-07;0.000371822726487014;0.000311187700433496;"APOE/EPHA4/EPHB2/ITM2C/NLGN1/PRNP/SEMA5A/SLIT2/SPOCK1/TCHP";10
"154";"comm 4";"GO:1900272";"negative regulation of long-term synaptic potentiation";"4/131";"13/18723";1.55847895953069e-06;0.000572230674815205;0.000478914103760331;"APOE/APP/EPHA4/PRNP";4
"155";"comm 4";"GO:0061448";"connective tissue development";"11/131";"252/18723";1.61581876712644e-06;0.000572230674815205;0.000478914103760331;"CDK4/COL11A1/COL2A1/COL5A1/ECM1/EFEMP1/LOX/LUM/PRRX1/SIX2/SOX6";11
"157";"comm 4";"GO:0018212";"peptidyl-tyrosine modification";"13/131";"378/18723";2.55199719498962e-06;0.000702933449597696;0.000588302511266028;"APP/AXL/CLK1/EFEMP1/EPHA4/EPHB2/EPHB4/FER/FGFR1/HES1/LRP8/PRNP/TNFRSF1A";13
"158";"comm 4";"GO:0106027";"neuron projection organization";"7/131";"93/18723";4.01578256082938e-06;0.000995512496829604;0.000833169202883654;"APOE/APP/EPHA4/EPHB2/LRP8/NLGN1/PRNP";7
"162";"comm 4";"GO:0033674";"positive regulation of kinase activity";"13/131";"467/18723";2.4531657250724e-05;0.00434385559461035;0.00363548093542685;"AXL/CKS1B/CKS2/DAZAP2/EPHA4/EPHB2/EPHB4/FGFR1/LRP8/MAGED1/MAP4K2/PRNP/SDC4";13
"164";"comm 4";"GO:0042060";"wound healing";"12/131";"422/18723";4.16031595004195e-05;0.00594610154754376;0.00497644047905936;"APOE/AXL/COL3A1/COL5A1/DCN/EPHB2/FBLN1/LOX/SCRIB/SDC1/SDC4/SERPINE1";12
"177";"comm 4";"GO:0006878";"cellular copper ion homeostasis";"3/131";"15/18723";0.000143221808492717;0.0122206687514376;0.0102277820467011;"APP/MT2A/PRNP";3
"178";"comm 4";"GO:0050803";"regulation of synapse structure or activity";"8/131";"218/18723";0.000150754278237417;0.0122206687514376;0.0102277820467011;"APOE/APP/EPHA4/EPHB2/LRP8/NLGN1/PRNP/THBS2";8
"179";"comm 4";"GO:1902742";"apoptotic process involved in development";"4/131";"39/18723";0.000155714587022728;0.0122206687514376;0.0102277820467011;"SCRIB/SLIT2/SLIT3/TNFRSF1A";4
"181";"comm 4";"GO:0045861";"negative regulation of proteolysis";"10/131";"351/18723";0.000182833067462202;0.0137346416435999;0.0114948636672408;"APLP2/APP/CRIM1/ECM1/EPHA4/GAS1/HERPUD1/PRNP/SERPINE1/SPOCK1";10
"182";"comm 4";"GO:0007411";"axon guidance";"8/131";"227/18723";0.000198773506213292;0.0144929271147868;0.0121294916639752;"APP/EPHA4/EPHB2/EPHB4/LAMB2/SEMA5A/SLIT2/SLIT3";8
"187";"comm 4";"GO:0035987";"endodermal cell differentiation";"4/131";"45/18723";0.000273072997326997;0.0172302410764596;0.0144204178941856;"COL11A1/COL12A1/COL5A1/COL5A2";4
"189";"comm 4";"GO:0090287";"regulation of cellular response to growth factor stimulus";"9/131";"304/18723";0.000291838735231773;0.0175295294238149;0.0146708997661787;"CRIM1/DCN/FGFR1/FST/FSTL1/GPC1/HES1/LOX/SLIT2";9
"195";"comm 4";"GO:0035455";"response to interferon-alpha";"3/131";"21/18723";0.000405986268723235;0.0214136161737213;0.0179215887044456;"AXL/IFIT3/IFITM3";3
"201";"comm 4";"GO:0042982";"amyloid precursor protein metabolic process";"5/131";"95/18723";0.000543845793429527;0.0252965317649447;0.0211712974708418;"APOE/EPHA4/ITM2B/ITM2C/PRNP";5
"204";"comm 4";"GO:0016049";"cell growth";"11/131";"482/18723";0.000580568795205963;0.0252965317649447;0.0211712974708418;"APOE/APP/CCDC85B/IGFBP4/IGFBP7/LAMB2/SEMA5A/SLIT2/SLIT3/SPOCK1/TCHP";11
"205";"comm 4";"GO:0001503";"ossification";"10/131";"408/18723";0.000599987992192085;0.0252965317649447;0.0211712974708418;"CLEC11A/COL11A1/COL1A2/COL2A1/COL5A2/CRIM1/ECM1/LOX/SIX2/TWIST2";10
"206";"comm 4";"GO:0098743";"cell aggregation";"3/131";"24/18723";0.000608429840647832;0.0252965317649447;0.0211712974708418;"COL11A1/COL2A1/SOX6";3
"207";"comm 4";"GO:2000310";"regulation of NMDA receptor activity";"3/131";"24/18723";0.000608429840647832;0.0252965317649447;0.0211712974708418;"APP/EPHB2/NLGN1";3
"208";"comm 4";"GO:0051384";"response to glucocorticoid";"6/131";"148/18723";0.000612259744210037;0.0252965317649447;0.0211712974708418;"IGFBP7/NR3C1/SDC1/SLIT2/SLIT3/ZFP36L2";6
"210";"comm 4";"GO:0051962";"positive regulation of nervous system development";"8/131";"272/18723";0.000664130352599035;0.0265545023240808;0.0222241243628641;"EPHA4/EPHB2/HES1/LRP8/NLGN1/SEMA5A/SLIT2/THBS2";8
"215";"comm 4";"GO:0071280";"cellular response to copper ion";"3/131";"28/18723";0.000964881569471955;0.0357006180704623;0.0298787364246539;"APP/MT2A/PRNP";3
"222";"comm 4";"GO:0007162";"negative regulation of cell adhesion";"8/131";"303/18723";0.00133004340578307;0.0439623680391497;0.0367932007410306;"EPHB2/FBLN1/PRNP/SCRIB/SDC4/SEMA5A/SERPINE1/SPOCK1";8
"223";"comm 4";"GO:0060070";"canonical Wnt signaling pathway";"8/131";"303/18723";0.00133004340578307;0.0439623680391497;0.0367932007410306;"APOE/ATP6AP2/IGFBP4/IGFBP6/SDC1/SDHAF2/SEMA5A/TCF7L1";8
